# TRACKC++ version(Aug 25 2014 16:45:52)
# Accelerator Physics Group - LNLS
# Campinas BRAZIL
# contact: xresende@gmail.com
# [closed-orbit]
# ebeam_energy[eV] : 3000000000.000000
# harmonic_number  : 864
# cavity_state     : on
# radiation_state  : on
# chamber_state    : on

# idx fam_name        s[m]                   rx[m]                  ry[m]                  de                     px[rad]                py[rad]                dl[m]                 
# --- --------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
01609 vcm             +2.950869920000001E+02 +1.446602599559755E-07 +0.000000000000000E+00 +5.425218936224865E-06 +1.603929211985811E-07 +0.000000000000000E+00 -1.898887907273832E-02
01610 d26             +2.950869920000001E+02 +1.446602599559755E-07 +0.000000000000000E+00 +5.425218936224865E-06 +1.603929211985811E-07 +0.000000000000000E+00 -1.898887907273832E-02
01611 sd3             +2.953469920000001E+02 +1.863621932254885E-07 +0.000000000000000E+00 +5.425218936224865E-06 +1.603929211985811E-07 +0.000000000000000E+00 -1.898887907273497E-02
01612 d17             +2.954969920000001E+02 +2.104210625531964E-07 +0.000000000000000E+00 +5.425218936224865E-06 +1.603937780954144E-07 +0.000000000000000E+00 -1.898887907273306E-02
01613 qf3             +2.956669920000001E+02 +2.376878569010878E-07 +0.000000000000000E+00 +5.425218936224865E-06 +1.603937780954144E-07 +0.000000000000000E+00 -1.898887907273088E-02
01614 d12             +2.959169920000001E+02 +2.539944448278342E-07 +0.000000000000000E+00 +5.425218936168536E-06 -3.204020841687128E-08 +0.000000000000000E+00 -1.898887907272996E-02
01615 BPM             +2.960369920000001E+02 +2.501496406767140E-07 +0.000000000000000E+00 +5.425218936168536E-06 -3.204020841687128E-08 +0.000000000000000E+00 -1.898887907272990E-02
01616 d11             +2.960369920000001E+02 +2.501496406767140E-07 +0.000000000000000E+00 +5.425218936168536E-06 -3.204020841687128E-08 +0.000000000000000E+00 -1.898887907272990E-02
01617 sf2             +2.961469920000001E+02 +2.466252368715204E-07 +0.000000000000000E+00 +5.425218936168536E-06 -3.204020841687128E-08 +0.000000000000000E+00 -1.898887907272984E-02
01618 d20             +2.962969920000001E+02 +2.418191189874496E-07 +0.000000000000000E+00 +5.425218936168536E-06 -3.204170123508056E-08 +0.000000000000000E+00 -1.898887907272977E-02
01619 qf4             +2.964969920000001E+02 +2.354108135068938E-07 +0.000000000000000E+00 +5.425218936168536E-06 -3.204170123508056E-08 +0.000000000000000E+00 -1.898887907272967E-02
01620 d15             +2.967469920000001E+02 +2.079849078698871E-07 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907272792E-02
01621 hcm             +2.968969920000001E+02 +1.803454808030300E-07 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907272537E-02
01622 crhv            +2.968969920000001E+02 +1.803454808030300E-07 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907272537E-02
01623 d12             +2.968969920000001E+02 +1.803454808030300E-07 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907272537E-02
01624 BPM             +2.970169920000001E+02 +1.582339391495444E-07 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907272333E-02
01625 d44             +2.970169920000001E+02 +1.582339391495444E-07 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907272333E-02
01626 b3              +2.974569920000001E+02 +7.715828642009707E-08 +0.000000000000000E+00 +5.425218936133256E-06 -1.842638467786677E-07 +0.000000000000000E+00 -1.898887907271586E-02
01627 mb3             +2.976709975000001E+02 +4.614260854765351E-08 +0.000000000000000E+00 +5.148620911233317E-06 -1.070860686140734E-07 +0.000000000000000E+00 -1.898887832056039E-02
01628 b3              +2.976709975000001E+02 +4.614260854765351E-08 +0.000000000000000E+00 +5.148620911233317E-06 -1.070860686140734E-07 +0.000000000000000E+00 -1.898887832056039E-02
01629 d13             +2.978850030000000E+02 +3.080567599537951E-08 +0.000000000000000E+00 +4.872022869173385E-06 -3.722387018224060E-08 +0.000000000000000E+00 -1.898887785599649E-02
01630 bc              +2.980150030000000E+02 +2.596659644779445E-08 +0.000000000000000E+00 +4.872022869173385E-06 -3.722387018224060E-08 +0.000000000000000E+00 -1.898887785599640E-02
01631 mc              +2.980777000000000E+02 +2.549867708417298E-08 +0.000000000000000E+00 +3.967037115842729E-06 +2.039302547163145E-08 +0.000000000000000E+00 -1.898887754529569E-02
01632 bc              +2.980777000000000E+02 +2.549867708417298E-08 +0.000000000000000E+00 +3.967037115842729E-06 +2.039302547163145E-08 +0.000000000000000E+00 -1.898887754529569E-02
01633 d13             +2.981403970000001E+02 +2.829261983610811E-08 +0.000000000000000E+00 +3.062053000286251E-06 +6.695601912497167E-08 +0.000000000000000E+00 -1.898887721968009E-02
01634 b3              +2.982703970000001E+02 +3.699687566946174E-08 +0.000000000000000E+00 +3.062053000286251E-06 +6.695601912497167E-08 +0.000000000000000E+00 -1.898887721967980E-02
01635 mb3             +2.984844025000000E+02 +5.617525752481916E-08 +0.000000000000000E+00 +2.785456175636916E-06 +1.122061828234396E-07 +0.000000000000000E+00 -1.898887664841467E-02
01636 b3              +2.984844025000000E+02 +5.617525752481916E-08 +0.000000000000000E+00 +2.785456175636916E-06 +1.122061828234396E-07 +0.000000000000000E+00 -1.898887664841467E-02
01637 d44             +2.986984080000000E+02 +8.506076033816250E-08 +0.000000000000000E+00 +2.508859681374930E-06 +1.580321756445017E-07 +0.000000000000000E+00 -1.898887577738214E-02
01638 BPM             +2.991384080000000E+02 +1.545947431707372E-07 +0.000000000000000E+00 +2.508859681374930E-06 +1.580321756445017E-07 +0.000000000000000E+00 -1.898887577737664E-02
01639 d12             +2.991384080000000E+02 +1.545947431707372E-07 +0.000000000000000E+00 +2.508859681374930E-06 +1.580321756445017E-07 +0.000000000000000E+00 -1.898887577737664E-02
01640 hcm             +2.992584080000000E+02 +1.735585566705303E-07 +0.000000000000000E+00 +2.508859681374930E-06 +1.580321756445017E-07 +0.000000000000000E+00 -1.898887577737514E-02
01641 d15             +2.992584080000000E+02 +1.735585566705303E-07 +0.000000000000000E+00 +2.508859681374930E-06 +1.580321756445017E-07 +0.000000000000000E+00 -1.898887577737514E-02
01642 qf4             +2.994084080000000E+02 +1.972633235452717E-07 +0.000000000000000E+00 +2.508859681374930E-06 +1.580321756445017E-07 +0.000000000000000E+00 -1.898887577737327E-02
01643 d20             +2.996584080000000E+02 +2.192092778973195E-07 +0.000000000000000E+00 +2.508859681343816E-06 +1.505299800503473E-08 +0.000000000000000E+00 -1.898887577737209E-02
01644 sf2             +2.998584080000000E+02 +2.222198699451735E-07 +0.000000000000000E+00 +2.508859681343816E-06 +1.505299800503473E-08 +0.000000000000000E+00 -1.898887577737206E-02
01645 d11             +3.000084080000000E+02 +2.244777206582327E-07 +0.000000000000000E+00 +2.508859681343816E-06 +1.505174949042150E-08 +0.000000000000000E+00 -1.898887577737203E-02
01646 BPM             +3.001184080000000E+02 +2.261334089482895E-07 +0.000000000000000E+00 +2.508859681343816E-06 +1.505174949042150E-08 +0.000000000000000E+00 -1.898887577737201E-02
01647 d12             +3.001184080000000E+02 +2.261334089482895E-07 +0.000000000000000E+00 +2.508859681343816E-06 +1.505174949042150E-08 +0.000000000000000E+00 -1.898887577737201E-02
01648 qf3             +3.002384080000000E+02 +2.279396143556241E-07 +0.000000000000000E+00 +2.508859681343816E-06 +1.505174949042150E-08 +0.000000000000000E+00 -1.898887577737200E-02
01649 d17             +3.004884080000000E+02 +2.099891550790593E-07 +0.000000000000000E+00 +2.508859681299121E-06 -1.563442569306691E-07 +0.000000000000000E+00 -1.898887577737104E-02
01650 sd3             +3.006584080000000E+02 +1.834106980824647E-07 +0.000000000000000E+00 +2.508859681299121E-06 -1.563442569306691E-07 +0.000000000000000E+00 -1.898887577736896E-02
01651 d26             +3.008084080000000E+02 +1.599591687131014E-07 +0.000000000000000E+00 +2.508859681299121E-06 -1.563436149986054E-07 +0.000000000000000E+00 -1.898887577736716E-02
01652 vcm             +3.010684080000000E+02 +1.193099307966981E-07 +0.000000000000000E+00 +2.508859681299121E-06 -1.563436149986054E-07 +0.000000000000000E+00 -1.898887577736398E-02
01653 crhv            +3.010684080000000E+02 +1.193099307966981E-07 +0.000000000000000E+00 +2.508859681299121E-06 -1.563436149986054E-07 +0.000000000000000E+00 -1.898887577736398E-02
01654 d18             +3.010684080000000E+02 +1.193099307966981E-07 +0.000000000000000E+00 +2.508859681299121E-06 -1.563436149986054E-07 +0.000000000000000E+00 -1.898887577736398E-02
01655 b2              +3.012484080000000E+02 +9.116815070072655E-08 +0.000000000000000E+00 +2.508859681299121E-06 -1.563436149986054E-07 +0.000000000000000E+00 -1.898887577736178E-02
01656 mb2             +3.018625390000000E+02 +3.114172044691176E-08 +0.000000000000000E+00 +1.715117208609954E-06 -4.879405478892216E-08 +0.000000000000000E+00 -1.898887378331955E-02
01657 b2              +3.018625390000000E+02 +3.114172044691176E-08 +0.000000000000000E+00 +1.715117208609954E-06 -4.879405478892216E-08 +0.000000000000000E+00 -1.898887378331955E-02
01658 d20             +3.024766700000000E+02 +2.236312649126610E-08 +0.000000000000000E+00 +9.213753142427055E-07 +1.484328672608533E-08 +0.000000000000000E+00 -1.898887294140624E-02
01659 hcm             +3.026766699999999E+02 +2.533178110123809E-08 +0.000000000000000E+00 +9.213753142427055E-07 +1.484328672608533E-08 +0.000000000000000E+00 -1.898887294140622E-02
01660 d12             +3.026766699999999E+02 +2.533178110123809E-08 +0.000000000000000E+00 +9.213753142427055E-07 +1.484328672608533E-08 +0.000000000000000E+00 -1.898887294140622E-02
01661 sd2             +3.027966699999999E+02 +2.711297386722129E-08 +0.000000000000000E+00 +9.213753142427055E-07 +1.484328672608533E-08 +0.000000000000000E+00 -1.898887294140621E-02
01662 d17             +3.029466699999999E+02 +2.933946554205796E-08 +0.000000000000000E+00 +9.213753142427055E-07 +1.484329654900778E-08 +0.000000000000000E+00 -1.898887294140617E-02
01663 qf2             +3.031166699999999E+02 +3.186282363042944E-08 +0.000000000000000E+00 +9.213753142427055E-07 +1.484329654900778E-08 +0.000000000000000E+00 -1.898887294140615E-02
01664 d20             +3.033666699999999E+02 +3.216337919175769E-08 +0.000000000000000E+00 +9.213753142415702E-07 -1.248100325634930E-08 +0.000000000000000E+00 -1.898887294140615E-02
01665 sf1             +3.035666699999999E+02 +2.966718084042337E-08 +0.000000000000000E+00 +9.213753142415702E-07 -1.248100325634930E-08 +0.000000000000000E+00 -1.898887294140614E-02
01666 d11             +3.037166699999999E+02 +2.779503032332888E-08 +0.000000000000000E+00 +9.213753142415702E-07 -1.248102614073935E-08 +0.000000000000000E+00 -1.898887294140614E-02
01667 BPM             +3.038266699999999E+02 +2.642211871281442E-08 +0.000000000000000E+00 +9.213753142415702E-07 -1.248102614073935E-08 +0.000000000000000E+00 -1.898887294140613E-02
01668 d12             +3.038266699999999E+02 +2.642211871281442E-08 +0.000000000000000E+00 +9.213753142415702E-07 -1.248102614073935E-08 +0.000000000000000E+00 -1.898887294140613E-02
01669 qf1             +3.039466699999999E+02 +2.492439695588955E-08 +0.000000000000000E+00 +9.213753142415702E-07 -1.248102614073935E-08 +0.000000000000000E+00 -1.898887294140612E-02
01670 d17             +3.041966699999999E+02 +2.005890492031088E-08 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173475925070E-08 +0.000000000000000E+00 -1.898887294140606E-02
01671 sd1             +3.043666699999999E+02 +1.564541407771977E-08 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173475925070E-08 +0.000000000000000E+00 -1.898887294140600E-02
01672 d15             +3.045166699999999E+02 +1.175115780373504E-08 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140596E-02
01673 hcm             +3.046666699999999E+02 +7.856901821044723E-09 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140591E-02
01674 d12             +3.046666699999999E+02 +7.856901821044723E-09 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140591E-02
01675 vcm             +3.047866699999999E+02 +4.741497034892472E-09 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140587E-02
01676 d22             +3.047866699999999E+02 +4.741497034892472E-09 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140587E-02
01677 BPM             +3.050066699999999E+02 -9.700784063866548E-10 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140580E-02
01678 d10             +3.050066699999999E+02 -9.700784063866548E-10 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140580E-02
01679 b1              +3.051066700000000E+02 -3.566249061513531E-09 +0.000000000000000E+00 +9.213753142412928E-07 -2.596173047174429E-08 +0.000000000000000E+00 -1.898887294140576E-02
01680 mb1             +3.055207100000000E+02 -1.030100282534926E-08 +0.000000000000000E+00 +3.862435591226757E-07 -9.073782802437568E-09 +0.000000000000000E+00 -1.898887312292083E-02
01681 b1              +3.055207100000000E+02 -1.030100282534926E-08 +0.000000000000000E+00 +3.862435591226757E-07 -9.073782802437568E-09 +0.000000000000000E+00 -1.898887312292083E-02
01682 d17             +3.059347500000000E+02 -1.304286231553096E-08 +0.000000000000000E+00 -1.488876839282572E-07 -6.484102817945796E-09 +0.000000000000000E+00 -1.898887340695797E-02
01683 sa1             +3.061047500000000E+02 -1.414515995870029E-08 +0.000000000000000E+00 -1.488876839282572E-07 -6.484102817945796E-09 +0.000000000000000E+00 -1.898887340695796E-02
01684 d17             +3.062547499999999E+02 -1.511777538981492E-08 +0.000000000000000E+00 -1.488876839282572E-07 -6.484100958251111E-09 +0.000000000000000E+00 -1.898887340695796E-02
01685 qad             +3.064247500000000E+02 -1.622007271683610E-08 +0.000000000000000E+00 -1.488876839282572E-07 -6.484100958251111E-09 +0.000000000000000E+00 -1.898887340695796E-02
01686 d23             +3.065647499999999E+02 -1.757192247436957E-08 +0.000000000000000E+00 -1.488876839283695E-07 -1.291408494310892E-08 +0.000000000000000E+00 -1.898887340695796E-02
01687 qaf             +3.067947500000000E+02 -2.054216245351677E-08 +0.000000000000000E+00 -1.488876839283695E-07 -1.291408494310892E-08 +0.000000000000000E+00 -1.898887340695794E-02
01688 d12             +3.071347499999999E+02 -2.178223926060276E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798660972060697E-09 +0.000000000000000E+00 -1.898887340695794E-02
01689 BPM             +3.072547499999999E+02 -2.108639984035355E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798660972060697E-09 +0.000000000000000E+00 -1.898887340695793E-02
01690 d12             +3.072547499999999E+02 -2.108639984035355E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798660972060697E-09 +0.000000000000000E+00 -1.898887340695793E-02
01691 sa2             +3.073747499999999E+02 -2.039056042010435E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798660972060697E-09 +0.000000000000000E+00 -1.898887340695793E-02
01692 d12             +3.075247499999999E+02 -1.952076125731190E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695793E-02
01693 hcm             +3.076447499999999E+02 -1.882492201451540E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695793E-02
01694 d12             +3.076447499999999E+02 -1.882492201451540E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695793E-02
01695 vcm             +3.077647499999999E+02 -1.812908277171890E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695792E-02
01696 crhv            +3.077647499999999E+02 -1.812908277171890E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695792E-02
01697 dia             +3.077647499999999E+02 -1.812908277171890E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695792E-02
01698 id_enda         +3.100375999999999E+02 -4.949597580135417E-09 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695788E-02
01699 dia             +3.100375999999999E+02 -4.949597580135417E-09 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695788E-02
01700 mia             +3.110375999999999E+02 +8.490627765020579E-10 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695787E-02
01701 dia             +3.110375999999999E+02 +8.490627765020579E-10 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695787E-02
01702 id_enda         +3.120375999999999E+02 +6.647723133139533E-09 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695785E-02
01703 dia             +3.120375999999999E+02 +6.647723133139533E-09 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695785E-02
01704 crhv            +3.143104499999999E+02 +1.982720832472302E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695781E-02
01705 vcm             +3.143104499999999E+02 +1.982720832472302E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695781E-02
01706 d12             +3.143104499999999E+02 +1.982720832472302E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695781E-02
01707 hcm             +3.144304500000000E+02 +2.052304756751952E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695781E-02
01708 d12             +3.144304500000000E+02 +2.052304756751952E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695781E-02
01709 sa2             +3.145504500000000E+02 +2.121888681031602E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798659493288364E-09 +0.000000000000000E+00 -1.898887340695780E-02
01710 d12             +3.147004499999999E+02 +2.208868573497652E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798657752177515E-09 +0.000000000000000E+00 -1.898887340695780E-02
01711 BPM             +3.148204499999999E+02 +2.278452476883968E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798657752177515E-09 +0.000000000000000E+00 -1.898887340695780E-02
01712 d12             +3.148204499999999E+02 +2.278452476883968E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798657752177515E-09 +0.000000000000000E+00 -1.898887340695780E-02
01713 qaf             +3.149404499999999E+02 +2.348036380270284E-08 +0.000000000000000E+00 -1.488876839287612E-07 +5.798657752177515E-09 +0.000000000000000E+00 -1.898887340695780E-02
01714 d23             +3.152804499999999E+02 +2.199731374498994E-08 +0.000000000000000E+00 -1.488876839292135E-07 -1.430823544173358E-08 +0.000000000000000E+00 -1.898887340695779E-02
01715 qad             +3.155104499999999E+02 +1.870641910341753E-08 +0.000000000000000E+00 -1.488876839292135E-07 -1.430823544173358E-08 +0.000000000000000E+00 -1.898887340695776E-02
01716 d17             +3.156504499999999E+02 +1.718813526922478E-08 +0.000000000000000E+00 -1.488876839293402E-07 -7.478173811641856E-09 +0.000000000000000E+00 -1.898887340695776E-02
01717 sa1             +3.158204499999999E+02 +1.591684553196628E-08 +0.000000000000000E+00 -1.488876839293402E-07 -7.478173811641856E-09 +0.000000000000000E+00 -1.898887340695776E-02
01718 d17             +3.159704499999999E+02 +1.479511945059225E-08 +0.000000000000000E+00 -1.488876839293402E-07 -7.478171763055570E-09 +0.000000000000000E+00 -1.898887340695776E-02
01719 b1              +3.161404499999999E+02 +1.352383006159347E-08 +0.000000000000000E+00 -1.488876839293402E-07 -7.478171763055570E-09 +0.000000000000000E+00 -1.898887340695776E-02
01720 mb1             +3.165544899999999E+02 +1.036463479191633E-08 +0.000000000000000E+00 -6.840180142911377E-07 -1.011861447851009E-08 +0.000000000000000E+00 -1.898887311646071E-02
01721 b1              +3.165544899999999E+02 +1.036463479191633E-08 +0.000000000000000E+00 -6.840180142911377E-07 -1.011861447851009E-08 +0.000000000000000E+00 -1.898887311646071E-02
01722 d32             +3.169685299999999E+02 +3.162679119676702E-09 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917711097292E-08 +0.000000000000000E+00 -1.898887293904621E-02
01723 vcm             +3.172885299999999E+02 -5.541068166989325E-09 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917711097292E-08 +0.000000000000000E+00 -1.898887293904609E-02
01724 d12             +3.172885299999999E+02 -5.541068166989325E-09 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917711097292E-08 +0.000000000000000E+00 -1.898887293904609E-02
01725 hcm             +3.174085299999999E+02 -8.804973399489085E-09 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917711097292E-08 +0.000000000000000E+00 -1.898887293904604E-02
01726 d15             +3.174085299999999E+02 -8.804973399489085E-09 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917711097292E-08 +0.000000000000000E+00 -1.898887293904604E-02
01727 sd1             +3.175585299999999E+02 -1.288485494011378E-08 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917711097292E-08 +0.000000000000000E+00 -1.898887293904599E-02
01728 d17             +3.177085299999999E+02 -1.696473613375617E-08 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917202387567E-08 +0.000000000000000E+00 -1.898887293904595E-02
01729 qf1             +3.178785299999999E+02 -2.158860101498991E-08 +0.000000000000000E+00 -1.219147838836384E-06 -2.719917202387567E-08 +0.000000000000000E+00 -1.898887293904589E-02
01730 d12             +3.181285299999999E+02 -2.664408876697915E-08 +0.000000000000000E+00 -1.219147838836704E-06 -1.274467830770164E-08 +0.000000000000000E+00 -1.898887293904582E-02
01731 BPM             +3.182485299999999E+02 -2.817345202842326E-08 +0.000000000000000E+00 -1.219147838836704E-06 -1.274467830770164E-08 +0.000000000000000E+00 -1.898887293904581E-02
01732 d11             +3.182485299999999E+02 -2.817345202842326E-08 +0.000000000000000E+00 -1.219147838836704E-06 -1.274467830770164E-08 +0.000000000000000E+00 -1.898887293904581E-02
01733 sf1             +3.183585299999999E+02 -2.957536835141370E-08 +0.000000000000000E+00 -1.219147838836704E-06 -1.274467830770164E-08 +0.000000000000000E+00 -1.898887293904580E-02
01734 d20             +3.185085299999999E+02 -3.148707432586703E-08 +0.000000000000000E+00 -1.219147838836704E-06 -1.274470414881562E-08 +0.000000000000000E+00 -1.898887293904580E-02
01735 qf2             +3.187085299999999E+02 -3.403601826316964E-08 +0.000000000000000E+00 -1.219147838836704E-06 -1.274470414881562E-08 +0.000000000000000E+00 -1.898887293904578E-02
01736 d17             +3.189585299999999E+02 -3.360622037786070E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612280317639832E-08 +0.000000000000000E+00 -1.898887293904578E-02
01737 sd2             +3.191285299999999E+02 -3.086534049633520E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612280317639832E-08 +0.000000000000000E+00 -1.898887293904576E-02
01738 d12             +3.192785299999999E+02 -2.844691623608199E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612281402015290E-08 +0.000000000000000E+00 -1.898887293904572E-02
01739 hcm             +3.193985299999999E+02 -2.651217619492950E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612281402015290E-08 +0.000000000000000E+00 -1.898887293904571E-02
01740 d10             +3.193985299999999E+02 -2.651217619492950E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612281402015290E-08 +0.000000000000000E+00 -1.898887293904571E-02
01741 BPM             +3.194985299999999E+02 -2.489989282730243E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612281402015290E-08 +0.000000000000000E+00 -1.898887293904570E-02
01742 d10             +3.194985299999999E+02 -2.489989282730243E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612281402015290E-08 +0.000000000000000E+00 -1.898887293904570E-02
01743 b2              +3.195985299999999E+02 -2.328760945967536E-08 +0.000000000000000E+00 -1.219147838837971E-06 +1.612281402015290E-08 +0.000000000000000E+00 -1.898887293904568E-02
01744 mb2             +3.202126609999999E+02 -3.148326441136245E-08 +0.000000000000000E+00 -2.012886084347343E-06 -4.812698258625941E-08 +0.000000000000000E+00 -1.898887380273795E-02
01745 b2              +3.202126609999999E+02 -3.148326441136245E-08 +0.000000000000000E+00 -2.012886084347343E-06 -4.812698258625941E-08 +0.000000000000000E+00 -1.898887380273795E-02
01746 d18             +3.208267919999999E+02 -9.123296798041535E-08 +0.000000000000000E+00 -2.806623742647332E-06 -1.560867683116368E-07 +0.000000000000000E+00 -1.898887580352557E-02
01747 vcm             +3.210067919999999E+02 -1.193286651305607E-07 +0.000000000000000E+00 -2.806623742647332E-06 -1.560867683116368E-07 +0.000000000000000E+00 -1.898887580352338E-02
01748 d26             +3.210067919999999E+02 -1.193286651305607E-07 +0.000000000000000E+00 -2.806623742647332E-06 -1.560867683116368E-07 +0.000000000000000E+00 -1.898887580352338E-02
01749 sd3             +3.212667919999999E+02 -1.599113387918817E-07 +0.000000000000000E+00 -2.806623742647332E-06 -1.560867683116368E-07 +0.000000000000000E+00 -1.898887580352021E-02
01750 d17             +3.214167919999999E+02 -1.833243738273828E-07 +0.000000000000000E+00 -2.806623742647332E-06 -1.560861268834500E-07 +0.000000000000000E+00 -1.898887580351837E-02
01751 qf3             +3.215867919999999E+02 -2.098590898705333E-07 +0.000000000000000E+00 -2.806623742647332E-06 -1.560861268834500E-07 +0.000000000000000E+00 -1.898887580351630E-02
01752 d12             +3.218367919999999E+02 -2.277594798012025E-07 +0.000000000000000E+00 -2.806623742691963E-06 +1.518848888944665E-08 +0.000000000000000E+00 -1.898887580351535E-02
01753 BPM             +3.219567919999999E+02 -2.259368560190497E-07 +0.000000000000000E+00 -2.806623742691963E-06 +1.518848888944665E-08 +0.000000000000000E+00 -1.898887580351533E-02
01754 d11             +3.219567919999999E+02 -2.259368560190497E-07 +0.000000000000000E+00 -2.806623742691963E-06 +1.518848888944665E-08 +0.000000000000000E+00 -1.898887580351533E-02
01755 sf2             +3.220667919999999E+02 -2.242661175520763E-07 +0.000000000000000E+00 -2.806623742691963E-06 +1.518848888944665E-08 +0.000000000000000E+00 -1.898887580351532E-02
01756 d20             +3.222167919999999E+02 -2.219879315954290E-07 +0.000000000000000E+00 -2.806623742691963E-06 +1.518724285312359E-08 +0.000000000000000E+00 -1.898887580351528E-02
01757 qf4             +3.224167919999999E+02 -2.189504744998050E-07 +0.000000000000000E+00 -2.806623742691963E-06 +1.518724285312359E-08 +0.000000000000000E+00 -1.898887580351526E-02
01758 d15             +3.226667919999999E+02 -1.969933740173637E-07 +0.000000000000000E+00 -2.806623742722998E-06 +1.579849052842159E-07 +0.000000000000000E+00 -1.898887580351408E-02
01759 hcm             +3.228167919999999E+02 -1.732955717139167E-07 +0.000000000000000E+00 -2.806623742722998E-06 +1.579849052842159E-07 +0.000000000000000E+00 -1.898887580351220E-02
01760 crhv            +3.228167919999999E+02 -1.732955717139167E-07 +0.000000000000000E+00 -2.806623742722998E-06 +1.579849052842159E-07 +0.000000000000000E+00 -1.898887580351220E-02
